project,street,type,district,segment,tenure,commence,sale,price,area,level,date
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1308000,462.85,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1460000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1193000,409.03,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1465000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1198000,409.03,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1414000,505.91,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1470000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1203000,409.03,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1475000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1208000,409.03,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1480000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1213000,409.03,11 to 15,Nov-21
ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 years,2005.0,Resale,2485000,1528.49,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1223000,409.03,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1228000,409.03,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1233000,409.03,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1238000,409.03,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1454000,505.91,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1510000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,5572000,1948.28,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1243000,409.03,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1552000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1248000,409.03,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1557000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1253000,409.03,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1535000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1275000,409.03,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1424000,462.85,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2346000,731.95,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1432000,462.85,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2312000,818.06,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1597000,538.2,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1282000,409.03,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2356000,731.95,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1432000,462.85,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1295000,409.03,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1440000,462.85,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,8246000,2787.88,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2340000,818.06,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1607000,538.2,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1300000,409.03,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2376000,731.95,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1448000,462.85,26 to 30,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1305000,409.03,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2386000,731.95,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1464000,462.85,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1310000,409.03,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2396000,731.95,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1472000,462.85,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1315000,409.03,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2398000,731.95,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1480000,462.85,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1320000,409.03,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2416000,731.95,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1488000,462.85,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1335000,409.03,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2446000,731.95,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1508000,462.85,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,5854000,1754.53,31 to 35,Nov-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 years,2019.0,New Sale,1385000,527.44,31 to 35,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1340000,409.03,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2456000,731.95,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1508000,462.85,36 to 40,Nov-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 years,2019.0,New Sale,1390000,527.44,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2466000,731.95,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1524000,462.85,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,8546000,2787.88,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1681000,548.96,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1649000,538.2,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1350000,409.03,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2468000,731.95,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1524000,462.85,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,5890000,1754.53,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1355000,409.03,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2873000,947.23,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1540000,462.85,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,5902000,1754.53,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1548000,462.85,36 to 40,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2506000,731.95,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1556000,462.85,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,5926000,1754.53,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2516000,731.95,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1564000,462.85,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2526000,731.95,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1572000,462.85,41 to 45,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1395000,409.03,46 to 50,Nov-21
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,New Sale,1455000,914.94,01 to 05,Nov-21
VERDALE,DE SOUZA AVENUE,Apartment,21,RCR,99 years,2018.0,New Sale,1311500,699.66,01 to 05,Nov-21
MIDWOOD,HILLVIEW RISE,Condominium,23,OCR,99 years,2018.0,New Sale,1161000,635.08,26 to 30,Nov-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 years,2018.0,New Sale,2509000,1108.69,41 to 45,Nov-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 years,2018.0,New Sale,1703000,710.42,01 to 05,Nov-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,1409000,699.66,06 to 10,Nov-21
MEYERHOUSE,MEYER ROAD,Condominium,15,RCR,freehold,,New Sale,7442000,2820.17,01 to 05,Nov-21
